galaxy_ID,Mb,Md,Mh_r90,Mh_2r90,Mh_3r90,M_HI,M_HII,Mtot_r90,Mtot_2r90,Mtot_3r90,NSA_Mstar,Mtot_(star_HI_Hii),M_h1,M_h2
10142-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10142-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10143-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10144-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10145-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10146-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10147-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10148-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10149-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10150-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10213-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119406000000.0,nan,nan,nan
10213-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020900000.0,nan,nan,nan
10213-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3419100000.0,nan,nan,nan
10213-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109122000000.0,nan,nan,nan
10213-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14785400000.0,nan,nan,nan
10213-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13031600000.0,nan,nan,nan
10213-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28607300000.0,nan,nan,nan
10213-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116871000000.0,nan,nan,nan
10213-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,129150000000.0,nan,nan,nan
10213-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2032030000.0,nan,nan,nan
10213-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,172770000000.0,nan,nan,nan
10213-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37063700000.0,nan,nan,nan
10213-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41722800000.0,nan,nan,nan
10213-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30251900000.0,nan,nan,nan
10213-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81852000000.0,nan,nan,nan
10213-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8285070000.0,nan,nan,nan
10213-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,564878000.0,nan,nan,nan
10214-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6352370000.0,nan,nan,nan
10214-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62529000000.0,nan,nan,nan
10214-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59414700000.0,nan,nan,nan
10214-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,154829000000.0,nan,nan,nan
10214-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90471200000.0,nan,nan,nan
10214-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,72023600000.0,nan,nan,nan
10214-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3043660000.0,nan,nan,nan
10214-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10214-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23104900000.0,nan,nan,nan
10214-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102170000000.0,nan,nan,nan
10214-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37172800000.0,nan,nan,nan
10214-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2332640000.0,nan,nan,nan
10214-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23532900000.0,nan,nan,nan
10214-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1122350000.0,nan,nan,nan
10214-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2100210000.0,nan,nan,nan
10214-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38886900000.0,nan,nan,nan
10214-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,113123000000.0,nan,nan,nan
10215-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46650900000.0,nan,nan,nan
10215-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6025820000.0,nan,nan,nan
10215-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2232400000.0,nan,nan,nan
10215-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20732800000.0,nan,nan,nan
10215-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30151000000.0,nan,nan,nan
10215-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1874750000.0,nan,nan,nan
10215-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5001510000.0,nan,nan,nan
10215-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,999775000.0,nan,nan,nan
10215-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36595000000.0,nan,nan,nan
10215-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12889100000.0,nan,nan,nan
10215-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23304900000.0,nan,nan,nan
10215-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58625900000.0,nan,nan,nan
10215-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4143530000.0,nan,nan,nan
10215-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4820290000.0,nan,nan,nan
10215-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24880800000.0,nan,nan,nan
10215-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3624250000.0,nan,nan,nan
10215-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7539770000.0,nan,nan,nan
10216-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9584940000.0,nan,nan,nan
10216-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14147800000.0,nan,nan,nan
10216-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3336650000.0,nan,nan,nan
10216-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33587700000.0,nan,nan,nan
10216-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1512310000.0,nan,nan,nan
10216-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9342990000.0,nan,nan,nan
10216-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8492310000.0,nan,nan,nan
10216-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13430000000.0,nan,nan,nan
10216-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11619600000.0,nan,nan,nan
10216-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12791600000.0,nan,nan,nan
10216-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22027100000.0,nan,nan,nan
10216-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26542000000.0,nan,nan,nan
10216-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28190800000.0,nan,nan,nan
10216-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12208300000.0,nan,nan,nan
10216-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25478400000.0,nan,nan,nan
10216-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,115634000000.0,nan,nan,nan
10216-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21485800000.0,nan,nan,nan
10217-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7870300000.0,nan,nan,nan
10217-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12292800000.0,nan,nan,nan
10217-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10217-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
10217-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41682900000.0,nan,nan,nan
10217-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11119600000.0,nan,nan,nan
10217-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18013200000.0,nan,nan,nan
10217-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12238400000.0,nan,nan,nan
10217-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15658900000.0,nan,nan,nan
10217-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31661700000.0,nan,nan,nan
10217-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26903600000.0,nan,nan,nan
10217-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84173600000.0,nan,nan,nan
